iter	Passed	Remaining
726	7187	2699
727	7192	2687
728	7197	2675
729	7202	2664
730	7207	2652
731	7212	2640
732	7218	2629
733	7223	2617
734	7228	2606
735	7234	2594
736	7243	2585
737	7254	2575
738	7264	2565
739	7275	2556
740	7285	2546
741	7293	2536
742	7305	2527
743	7316	2517
744	7326	2507
745	7337	2498
746	7347	2488
747	7357	2478
748	7367	2468
749	7378	2459
750	7389	2449
751	7399	2440
752	7409	2430
753	7420	2420
754	7430	2411
755	7441	2401
756	7450	2391
757	7461	2382
758	7471	2372
759	7482	2362
760	7492	2353
761	7503	2343
762	7513	2333
763	7524	2324
764	7534	2314
765	7544	2304
766	7550	2293
767	7555	2282
768	7560	2271
769	7566	2260
770	7572	2249
771	7577	2237
772	7590	2228
773	7608	2221
774	7614	2210
775	7624	2200
776	7636	2191
777	7647	2182
778	7660	2173
779	7674	2164
780	7691	2156
781	7707	2148
782	7719	2139
783	7725	2128
784	7730	2117
785	7736	2106
786	7742	2095
787	7748	2084
788	7756	2074
789	7763	2063
790	7770	2053
791	7775	2042
792	7796	2035
793	7808	2025
794	7820	2016
795	7832	2007
796	7843	1997
797	7857	1988
798	7874	1980
799	7886	1971
800	7893	1960
801	7898	1950
802	7904	1939
803	7910	1928
804	7916	1917
805	7921	1906
806	7927	1895
807	7933	1885
808	7940	1874
809	7945	1863
810	7951	1853
811	7957	1842
812	7963	1831
813	7969	1820
814	7974	1810
815	7980	1799
816	7987	1789
817	7992	1778
818	7998	1767
819	8003	1756
820	8011	1746
821	8017	1736
822	8023	1725
823	8030	1715
824	8043	1706
825	8064	1698
826	8072	1688
827	8080	1678
828	8092	1669
829	8109	1660
830	8114	1650
831	8120	1639
832	8126	1629
833	8133	1618
834	8139	1608
835	8145	1597
836	8150	1587
837	8156	1576
838	8161	1566
839	8166	1555
840	8172	1545
841	8177	1534
842	8183	1523
843	8188	1513
844	8193	1502
845	8199	1492
846	8204	1482
847	8210	1471
848	8215	1461
849	8226	1451
850	8238	1442
851	8248	1432
852	8258	1423
853	8268	1413
854	8279	1404
855	8289	1394
856	8301	1385
857	8312	1375
858	8322	1366
859	8333	1356
860	8343	1347
861	8353	1337
862	8363	1327
863	8373	1318
864	8381	1308
865	8393	1298
866	8404	1289
867	8414	1279
868	8425	1270
869	8436	1260
870	8445	1250
871	8455	1241
872	8464	1231
873	8476	1221
874	8486	1212
875	8495	1202
876	8505	1192
877	8516	1183
878	8527	1173
879	8538	1164
880	8549	1154
881	8561	1145
882	8574	1136
883	8586	1126
884	8597	1117
885	8607	1107
886	8617	1097
887	8628	1088
888	8637	1078
889	8648	1068
890	8658	1059
891	8668	1049
892	8679	1040
893	8690	1030
894	8701	1020
895	8711	1011
896	8721	1001
897	8728	991
898	8741	982
899	8749	972
900	8755	962
901	8760	951
902	8765	941
903	8770	931
904	8775	921
905	8780	910
906	8785	900
907	8791	890
908	8796	880
909	8802	870
910	8807	860
911	8812	850
912	8817	840
913	8823	830
914	8828	820
915	8833	810
916	8838	799
917	8845	790
918	8853	780
919	8865	770
920	8877	761
921	8890	752
922	8904	742
923	8915	733
924	8926	723
925	8931	713
926	8936	703
927	8942	693
928	8947	683
929	8952	673
930	8957	663
931	8962	653
932	8967	643
933	8972	634
934	8977	624
935	8983	614
936	8988	604
937	8993	594
938	8998	584
939	9003	574
940	9009	564
941	9015	555
942	9019	545
943	9025	535
944	9030	525
945	9035	515
946	9040	505
947	9046	496
948	9051	486
949	9057	476
950	9062	466
951	9067	457
952	9072	447
953	9078	437
954	9083	428
955	9088	418
956	9093	408
957	9098	398
958	9103	389
959	9108	379
960	9113	369
961	9118	360
962	9123	350
963	9128	340
964	9133	331
965	9138	321
966	9144	312
967	9148	302
968	9154	292
969	9159	283
970	9164	273
971	9169	264
972	9175	254
973	9180	245
974	9186	235
975	9191	226
976	9197	216
977	9202	207
978	9208	197
979	9213	188
980	9219	178
981	9224	169
982	9230	159
983	9236	150
